speaker,word,vowel,F1,F2,lexical set,mono/diph,dipno
abby,kit,?,536.19644,2398.736959,wells,m,
abby,dress,?,809.491536,1961.56641,wells,m,
abby,trap,æ,1017.06239,1712.460134,wells,m,
abby,lot,?,846.31305,1139.486776,wells,m,
abby,strut,?,785.814747,1672.56047,wells,m,
abby,foot,?,593.582995,1687.742891,wells,m,
abby,bath,æ,1008.721676,1656.200198,wells,m,
abby,cloth,?,871.035314,1231.95117,wells,m,
abby,nurse,?,706.646553,1649.576171,wells,m,
abby,fleece,i,319.751424,2896.21109,wells,m ,
abby,face1,e,494.877515,2284.562614,wells,d,d1
abby,face2,?,417.95892,2790.137634,wells,d,d2
abby,palm,?,870.44304,1268.520388,wells,m,
abby,thought,?,907.56504,1177.570042,wells,m ,
abby,goat1,o,607.487222,1683.521335,wells,d,d1
abby,goat2,?,435.450622,1142.773761,wells,d,d2
abby,goose,?,443.92404,2203.5115,wells,m,
abby,price1,?,733.58426,1706.952606,wells,d,d1
abby,price2,?,409.958597,2697.628245,wells,d,d2
abby,choice1,?,535.946706,1121.250449,wells,d,d1
abby,choice2,?,404.909663,2631.621441,wells,d,d2
abby,mouth1,?,746.798236,1892.25178,wells,d,d1
abby,mouth2,?,691.062699,1429.705164,wells,d,d2
abby,heed,i,358.096039,3080.757721,hVd,m,
abby,hid,?,543.005047,2463.84368,hVd,m,
abby,hayed1,e,483.50184,2780.14515,hVd,d,d1
abby,hayed2,?,421.071775,2933.088623,hVd,d,d2
abby,head,?,803.583307,2143.951998,hVd,m,
abby,had,æ,1258.02793,1694.94591,hVd,m,
abby,hod,?,880.995101,1287.123297,hVd,m,
abby,hawed,?,938.350752,1311.026156,hVd,m,
abby,hud,?,838.077288,1408.067593,hVd,m,
abby,hoed1,o,627.063328,1286.727553,hVd,d,d1
abby,hoed2,?,404.00104,1228.944526,hVd,d,d2
abby,hood,?,615.138655,1631.741108,hVd,m,
abby,who'd,u,410.710552,1657.848763,hVd,m,
abby,how'd1,a,1130.261038,1585.041822,hVd,d,d1
abby,how'd2,?,607.902694,1166.677662,hVd,d,d2
abby,hoyed1,?,605.517546,1042.428442,hVd,d,d1
abby,hoyed2,?,389.263687,2694.006653,hVd,d,d2
abby,hide1,a,1007.939823,1390.473796,hVd,d,d1
abby,hide2,?,534.897368,2524.749704,hVd,d,d2
abby,height1,?,732.181796,1818.175193,hVd,d,d1
abby,height2,?,360.033769,3243.726214,hVd,d,d2
abby,herd,?,645.478135,1683.746939,hVd,m,
